text;filename;subtitle;voice;highpass;lowpass;nfilter;volume;noise;emphasis;rate;pitch;clickin;clickout;duration
Active Runway;ActiveRunway;nil;en-GB-Wavenet-F;4000.0;3000.0;3.0;0.0;nil;nil;nil;nil;nil;nil;1.01
Advice on initial contact, you have information;AdviceOnInitial;nil;en-GB-Wavenet-F;4000.0;3000.0;3.0;0.0;nil;nil;nil;nil;nil;nil;2.95
Airport;Airport;nil;en-GB-Wavenet-F;4000.0;3000.0;3.0;0.0;nil;nil;nil;nil;nil;nil;0.67
Altimeter;Altimeter;nil;en-GB-Wavenet-F;4000.0;3000.0;3.0;0.0;nil;nil;nil;nil;nil;nil;0.79
at;At;nil;en-GB-Wavenet-F;4000.0;3000.0;3.0;0.0;nil;nil;nil;nil;nil;nil;0.39
cloud base;CloudBase;nil;en-GB-Wavenet-F;4000.0;3000.0;3.0;0.0;nil;nil;nil;nil;nil;nil;0.85
ceiling;CloudCeiling;nil;en-GB-Wavenet-F;4000.0;3000.0;3.0;0.0;nil;nil;nil;nil;nil;nil;0.59
broken clouds;CloudsBroken;nil;en-GB-Wavenet-F;4000.0;3000.0;3.0;0.0;nil;nil;nil;nil;nil;nil;1.08
few clouds;CloudsFew;nil;en-GB-Wavenet-F;4000.0;3000.0;3.0;0.0;nil;nil;nil;nil;nil;nil;0.97
no clouds;CloudsNo;nil;en-GB-Wavenet-F;4000.0;3000.0;3.0;0.0;nil;nil;nil;nil;nil;nil;0.91
cloud coverage information not available;CloudsNotAvailable;nil;en-GB-Wavenet-F;4000.0;3000.0;3.0;0.0;nil;nil;nil;nil;nil;nil;2.29
overcast;CloudsOvercast;nil;en-GB-Wavenet-F;4000.0;3000.0;3.0;0.0;nil;nil;nil;nil;nil;nil;0.86
scattered clouds;CloudsScattered;nil;en-GB-Wavenet-F;4000.0;3000.0;3.0;0.0;nil;nil;nil;nil;nil;nil;1.18
decimal;Decimal;nil;en-GB-Wavenet-F;4000.0;3000.0;3.0;0.0;nil;nil;nil;nil;nil;nil;0.61
degrees Celsius;DegreesCelsius;nil;en-GB-Wavenet-F;4000.0;3000.0;3.0;0.0;nil;nil;nil;nil;nil;nil;1.24
degrees Fahrenheit;DegreesFahrenheit;nil;en-GB-Wavenet-F;4000.0;3000.0;3.0;0.0;nil;nil;nil;nil;nil;nil;1.24
dew point;DewPoint;nil;en-GB-Wavenet-F;4000.0;3000.0;3.0;0.0;nil;nil;nil;nil;nil;nil;0.77
dust;Dust;nil;en-GB-Wavenet-F;4000.0;3000.0;3.0;0.0;nil;nil;nil;nil;nil;nil;0.5
elevation;Elevation;nil;en-GB-Wavenet-F;4000.0;3000.0;3.0;0.0;nil;nil;nil;nil;nil;nil;0.76
end of information;EndOfInformation;nil;en-GB-Wavenet-F;4000.0;3000.0;3.0;0.0;nil;nil;nil;nil;nil;nil;1.13
feet;Feet;nil;en-GB-Wavenet-F;4000.0;3000.0;3.0;0.0;nil;nil;nil;nil;nil;nil;0.54
fog;Fog;nil;en-GB-Wavenet-F;4000.0;3000.0;3.0;0.0;nil;nil;nil;nil;nil;nil;0.47
gusting;Gusting;nil;en-GB-Wavenet-F;4000.0;3000.0;3.0;0.0;nil;nil;nil;nil;nil;nil;0.61
hecto pascal;HectoPascal;nil;en-GB-Wavenet-F;4000.0;3000.0;3.0;0.0;nil;nil;nil;nil;nil;nil;1.18
hundred;Hundred;nil;en-GB-Wavenet-F;4000.0;3000.0;3.0;0.0;nil;nil;nil;nil;nil;nil;0.64
ILS frequency;ILSFrequency;nil;en-GB-Wavenet-F;4000.0;3000.0;3.0;0.0;nil;nil;nil;nil;nil;nil;1.41
inches of mercury;InchesOfMercury;nil;en-GB-Wavenet-F;4000.0;3000.0;3.0;0.0;nil;nil;nil;nil;nil;nil;1.24
