text;filename;subtitle;voice;highpass;lowpass;volume;filter;noise;emphasis;rate;pitch;duration
Active Runway;ActiveRunway;nil;en-GB-Wavenet-F;4000.0;3000.0;10.0;10.0;-25.0;nil;nil;nil;0.97
Advice on initial  contact, you have information;AdviceOnInitial;nil;en-GB-Wavenet-F;4000.0;3000.0;10.0;10.0;-25.0;nil;nil;nil;2.87
Airport;Airport;nil;en-GB-Wavenet-F;4000.0;3000.0;10.0;10.0;-25.0;nil;nil;nil;0.66
Altimeter;Altimeter;nil;en-GB-Wavenet-F;4000.0;3000.0;10.0;10.0;-25.0;nil;nil;nil;0.78
at;At;nil;en-GB-Wavenet-F;4000.0;3000.0;10.0;10.0;-25.0;nil;nil;nil;0.37
cloud base;CloudBase;nil;en-GB-Wavenet-F;4000.0;3000.0;10.0;10.0;-25.0;nil;nil;nil;0.83
ceiling;CloudCeiling;nil;en-GB-Wavenet-F;4000.0;3000.0;10.0;10.0;-25.0;nil;nil;nil;0.45
broken clouds;CloudsBroken;nil;en-GB-Wavenet-F;4000.0;3000.0;10.0;10.0;-25.0;nil;nil;nil;1.01
few clouds;CloudsFew;nil;en-GB-Wavenet-F;4000.0;3000.0;10.0;10.0;-25.0;nil;nil;nil;0.84
no clouds;CloudsNo;nil;en-GB-Wavenet-F;4000.0;3000.0;10.0;10.0;-25.0;nil;nil;nil;0.9
cloud coverage information not available;CloudsNotAvailable;nil;en-GB-Wavenet-F;4000.0;3000.0;10.0;10.0;-25.0;nil;nil;nil;2.29
overcast;CloudsOvercast;nil;en-GB-Wavenet-F;4000.0;3000.0;10.0;10.0;-25.0;nil;nil;nil;0.86
scattered clouds;CloudsScattered;nil;en-GB-Wavenet-F;4000.0;3000.0;10.0;10.0;-25.0;nil;nil;nil;1.15
decimal;Decimal;nil;en-GB-Wavenet-F;4000.0;3000.0;10.0;10.0;-25.0;nil;nil;nil;0.57
degrees Celsius;DegreesCelsius;nil;en-GB-Wavenet-F;4000.0;3000.0;10.0;10.0;-25.0;nil;nil;nil;1.22
degrees Fahrenheit;DegreesFahrenheit;nil;en-GB-Wavenet-F;4000.0;3000.0;10.0;10.0;-25.0;nil;nil;nil;1.26
dew point;DewPoint;nil;en-GB-Wavenet-F;4000.0;3000.0;10.0;10.0;-25.0;nil;nil;nil;0.75
dust;Dust;nil;en-GB-Wavenet-F;4000.0;3000.0;10.0;10.0;-25.0;nil;nil;nil;0.49
elevation;Elevation;nil;en-GB-Wavenet-F;4000.0;3000.0;10.0;10.0;-25.0;nil;nil;nil;0.63
end of information;EndOfInformation;nil;en-GB-Wavenet-F;4000.0;3000.0;10.0;10.0;-25.0;nil;nil;nil;1.03
feet;Feet;nil;en-GB-Wavenet-F;4000.0;3000.0;10.0;10.0;-25.0;nil;nil;nil;0.4
fog;Fog;nil;en-GB-Wavenet-F;4000.0;3000.0;10.0;10.0;-25.0;nil;nil;nil;0.31
gusting;Gusting;nil;en-GB-Wavenet-F;4000.0;3000.0;10.0;10.0;-25.0;nil;nil;nil;0.43
hecto pascal;HectoPascal;nil;en-GB-Wavenet-F;4000.0;3000.0;10.0;10.0;-25.0;nil;nil;nil;1.13
