Text;File Name;Subtitle;Voice Name;Highpass;Lowpass;Nfilter;Volume Boost;Noise Boost;Emphasis;Rate;Pitch;Click In;Click Out
Gudauta Airport;Gudauta;;en-GB-Wavenet-F;;;;;;;;;;
Mineralnye Vody Airport;Mineralnye Vody;;en-GB-Wavenet-F;;;;;;;;;;
Sukhumi-Babushara Airport;Sukhumi-Babushara;;en-GB-Wavenet-F;;;;;;;;;;
Maykop-Khanskaya Airport;Maykop-Khanskaya;;en-GB-Wavenet-F;;;;;;;;;;
Anapa-Vityazevo Airport;Anapa-Vityazevo;;en-GB-Wavenet-F;;;;;;;;;;
Vaziani Airport;Vaziani;;en-GB-Wavenet-F;;;;;;;;;;
Mozdok Airport;Mozdok;;en-GB-Wavenet-F;;;;;;;;;;
Gelendzhik Airport;Gelendzhik;;en-GB-Wavenet-F;;;;;;;;;;
Senaki-Kolkhi Airport;Senaki-Kolkhi;;en-GB-Wavenet-F;;;;;;;;;;
Krasnodar-Pashkovsky Airport;Krasnodar-Pashkovsky;;en-GB-Wavenet-F;;;;;;;;;;
Batumi Airport;Batumi;;en-GB-Wavenet-F;;;;;;;;;;
Kobuleti Airport;Kobuleti;;en-GB-Wavenet-F;;;;;;;;;;
Tbilisi-Lochini Airport;Tbilisi-Lochini;;en-GB-Wavenet-F;;;;;;;;;;
Krymsk Airport;Krymsk;;en-GB-Wavenet-F;;;;;;;;;;
Kutaisi Airport;Kutaisi;;en-GB-Wavenet-F;;;;;;;;;;
Sochi-Adler Airport;Sochi-Adler;;en-GB-Wavenet-F;;;;;;;;;;
Novorossiysk Airport;Novorossiysk;;en-GB-Wavenet-F;;;;;;;;;;
Krasnodar-Center Airport;Krasnodar-Center;;en-GB-Wavenet-F;;;;;;;;;;
Beslan Airport;Beslan;;en-GB-Wavenet-F;;;;;;;;;;
Soganlug Airport;Soganlug;;en-GB-Wavenet-F;;;;;;;;;;
Nalchik Airport;Nalchik;;en-GB-Wavenet-F;;;;;;;;;;
