Text;File Name;Subtitle;Voice Name;Highpass;Lowpass;Nfilter;Volume Boost;Noise Boost;Emphasis;Rate;Pitch;Click In;Click Out
Gudauta Airport;Gudauta;;de-DE-Wavenet-F;;;;;;;;;;
Mineralnye Vody Airport;Mineralnye Vody;;de-DE-Wavenet-F;;;;;;;;;;
Sukhumi-Babushara Airport;Sukhumi-Babushara;;de-DE-Wavenet-F;;;;;;;;;;
Maykop-Khanskaya Airport;Maykop-Khanskaya;;de-DE-Wavenet-F;;;;;;;;;;
Anapa-Vityazevo Airport;Anapa-Vityazevo;;de-DE-Wavenet-F;;;;;;;;;;
Vaziani Airport;Vaziani;;de-DE-Wavenet-F;;;;;;;;;;
Mozdok Airport;Mozdok;;de-DE-Wavenet-F;;;;;;;;;;
Gelendzhik Airport;Gelendzhik;;de-DE-Wavenet-F;;;;;;;;;;
Senaki-Kolkhi Airport;Senaki-Kolkhi;;de-DE-Wavenet-F;;;;;;;;;;
Krasnodar-Pashkovsky Airport;Krasnodar-Pashkovsky;;de-DE-Wavenet-F;;;;;;;;;;
Batumi Airport;Batumi;;de-DE-Wavenet-F;;;;;;;;;;
Kobuleti Airport;Kobuleti;;de-DE-Wavenet-F;;;;;;;;;;
Tbilisi-Lochini Airport;Tbilisi-Lochini;;de-DE-Wavenet-F;;;;;;;;;;
Krymsk Airport;Krymsk;;de-DE-Wavenet-F;;;;;;;;;;
Kutaisi Airport;Kutaisi;;de-DE-Wavenet-F;;;;;;;;;;
Sochi-Adler Airport;Sochi-Adler;;de-DE-Wavenet-F;;;;;;;;;;
Novorossiysk Airport;Novorossiysk;;de-DE-Wavenet-F;;;;;;;;;;
Krasnodar-Center Airport;Krasnodar-Center;;de-DE-Wavenet-F;;;;;;;;;;
Beslan Airport;Beslan;;de-DE-Wavenet-F;;;;;;;;;;
Soganlug Airport;Soganlug;;de-DE-Wavenet-F;;;;;;;;;;
Nalchik Airport;Nalchik;;de-DE-Wavenet-F;;;;;;;;;;
