Text;File Name;Subtitle;Voice Name;Highpass;Lowpass;Nfilter;Volume Boost;Noise Boost;Emphasis;Rate;Pitch;Click In;Click Out
Gudauta Airport;Gudauta;;ru-RU-Wavenet-E;;;;;;;;;;
Mineralnye Vody Airport;Mineralnye Vody;;ru-RU-Wavenet-E;;;;;;;;;;
Sukhumi-Babushara Airport;Sukhumi-Babushara;;ru-RU-Wavenet-E;;;;;;;;;;
Maykop-Khanskaya Airport;Maykop-Khanskaya;;ru-RU-Wavenet-E;;;;;;;;;;
Anapa-Vityazevo Airport;Anapa-Vityazevo;;ru-RU-Wavenet-E;;;;;;;;;;
Vaziani Airport;Vaziani;;ru-RU-Wavenet-E;;;;;;;;;;
Mozdok Airport;Mozdok;;ru-RU-Wavenet-E;;;;;;;;;;
Gelendzhik Airport;Gelendzhik;;ru-RU-Wavenet-E;;;;;;;;;;
Senaki-Kolkhi Airport;Senaki-Kolkhi;;ru-RU-Wavenet-E;;;;;;;;;;
Krasnodar-Pashkovsky Airport;Krasnodar-Pashkovsky;;ru-RU-Wavenet-E;;;;;;;;;;
Batumi Airport;Batumi;;ru-RU-Wavenet-E;;;;;;;;;;
Kobuleti Airport;Kobuleti;;ru-RU-Wavenet-E;;;;;;;;;;
Tbilisi-Lochini Airport;Tbilisi-Lochini;;ru-RU-Wavenet-E;;;;;;;;;;
Krymsk Airport;Krymsk;;ru-RU-Wavenet-E;;;;;;;;;;
Kutaisi Airport;Kutaisi;;ru-RU-Wavenet-E;;;;;;;;;;
Sochi-Adler Airport;Sochi-Adler;;ru-RU-Wavenet-E;;;;;;;;;;
Novorossiysk Airport;Novorossiysk;;ru-RU-Wavenet-E;;;;;;;;;;
Krasnodar-Center Airport;Krasnodar-Center;;ru-RU-Wavenet-E;;;;;;;;;;
Beslan Airport;Beslan;;ru-RU-Wavenet-E;;;;;;;;;;
Soganlug Airport;Soganlug;;ru-RU-Wavenet-E;;;;;;;;;;
Nalchik Airport;Nalchik;;ru-RU-Wavenet-E;;;;;;;;;;
