Text;File Name;Subtitle;Voice Name;Highpass;Lowpass;Nfilter;Volume Boost;Noise Boost;Emphasis;Rate;Pitch;Click In;Click Out
Gudauta Airport;Gudauta;;;;;;;;;;;;
Mineralnye Vody Airport;Mineralnye Vody;;;;;;;;;;;;
Sukhumi-Babushara Airport;Sukhumi-Babushara;;;;;;;;;;;;
Maykop-Khanskaya Airport;Maykop-Khanskaya;;;;;;;;;;;;
Anapa-Vityazevo Airport;Anapa-Vityazevo;;;;;;;;;;;;
Vaziani Airport;Vaziani;;;;;;;;;;;;
Mozdok Airport;Mozdok;;;;;;;;;;;;
Gelendzhik Airport;Gelendzhik;;;;;;;;;;;;
Senaki-Kolkhi Airport;Senaki-Kolkhi;;;;;;;;;;;;
Krasnodar-Pashkovsky Airport;Krasnodar-Pashkovsky;;;;;;;;;;;;
Batumi Airport;Batumi;;;;;;;;;;;;
Kobuleti Airport;Kobuleti;;;;;;;;;;;;
Tbilisi-Lochini Airport;Tbilisi-Lochini;;;;;;;;;;;;
Krymsk Airport;Krymsk;;;;;;;;;;;;
Kutaisi Airport;Kutaisi;;;;;;;;;;;;
Sochi-Adler Airport;Sochi-Adler;;;;;;;;;;;;
Novorossiysk Airport;Novorossiysk;;;;;;;;;;;;
Krasnodar-Center Airport;Krasnodar-Center;;;;;;;;;;;;
Beslan Airport;Beslan;;;;;;;;;;;;
Soganlug Airport;Soganlug;;;;;;;;;;;;
Nalchik Airport;Nalchik;;;;;;;;;;;;
