Text;File Name;Subtitle;Voice Name;Highpass;Lowpass;Nfilter;Volume Boost;Noise Boost;Emphasis;Rate;Pitch;Click In;Click Out
Jokkmokk Airport;Jokkmokk;;;;;;;;;;;;
Bas 100 Airport;Bas 100;;;;;;;;;;;;
Banak Airport;Banak;;;;;;;;;;;;
Severomorsk-3 Airport;Severomorsk-3;;;;;;;;;;;;
Bodo Airport;Bodo;;;;;;;;;;;;
Severomorsk-1 Airport;Severomorsk-1;;;;;;;;;;;;
Rovaniemi Airport;Rovaniemi;;;;;;;;;;;;
Kalixfors Airport;Kalixfors;;;;;;;;;;;;
Kemi Tornio Airport;Kemi Tornio;;;;;;;;;;;;
Murmansk International Airport;Murmansk International;;;;;;;;;;;;
Monchegorsk Airport;Monchegorsk;;;;;;;;;;;;
Olenya Airport;Olenya;;;;;;;;;;;;
Kiruna Airport;Kiruna;;;;;;;;;;;;
