Text;File Name;Subtitle;Voice Name;Highpass;Lowpass;Nfilter;Volume Boost;Noise Boost;Emphasis;Rate;Pitch;Click In;Click Out
Jean Airport;Jean;;;;;;;;;;;;
Lincoln County Airport;Lincoln County;;;;;;;;;;;;
Laughlin Airport;Laughlin;;;;;;;;;;;;
Groom Lake Airport;Groom Lake;;;;;;;;;;;;
McCarran International Airport;McCarran International;;;;;;;;;;;;
Mina Airport;Mina;;;;;;;;;;;;
Creech Airport;Creech;;;;;;;;;;;;
Nellis Airport;Nellis;;;;;;;;;;;;
Tonopah Airport;Tonopah;;;;;;;;;;;;
Mesquite Airport;Mesquite;;;;;;;;;;;;
Echo Bay Airport;Echo Bay;;;;;;;;;;;;
Pahute Mesa Airport;Pahute Mesa;;;;;;;;;;;;
Boulder City Airport;Boulder City;;;;;;;;;;;;
North Las Vegas Airport;North Las Vegas;;;;;;;;;;;;
Beatty Airport;Beatty;;;;;;;;;;;;
Tonopah Test Range Airport;Tonopah Test Range;;;;;;;;;;;;
Henderson Executive Airport;Henderson Executive;;;;;;;;;;;;
