Text;File Name;Subtitle;Voice Name;Highpass;Lowpass;Nfilter;Volume Boost;Noise Boost;Emphasis;Rate;Pitch;Click In;Click Out
Lantheuil;Lantheuil;;;;;;;;;;;;
Le Molay;Le Molay;;;;;;;;;;;;
Evreux;Evreux;;;;;;;;;;;;
Deanland;Deanland;;;;;;;;;;;;
Biniville;Biniville;;;;;;;;;;;;
Funtington;Funtington;;;;;;;;;;;;
Goulet;Goulet;;;;;;;;;;;;
Argentan;Argentan;;;;;;;;;;;;
Saint-Aubin;Saint-Aubin;;;;;;;;;;;;
Lignerolles;Lignerolles;;;;;;;;;;;;
Kenley;Kenley;;;;;;;;;;;;
Fecamp-Benouville;Fecamp-Benouville;;;;;;;;;;;;
Gravesend;Gravesend;;;;;;;;;;;;
Triqueville;Triqueville;;;;;;;;;;;;
Rucqueville;Rucqueville;;;;;;;;;;;;
Needs Oar Point;Needs Oar Point;;;;;;;;;;;;
Farnborough;Farnborough;;;;;;;;;;;;
Bazenville;Bazenville;;;;;;;;;;;;
Dinan-Trelivan;Dinan-Trelivan;;;;;;;;;;;;
Beaumont-le-Roger;Beaumont-le-Roger;;;;;;;;;;;;
Ford;Ford;;;;;;;;;;;;
Abbeville Drucat;Abbeville Drucat;;;;;;;;;;;;
Beuzeville;Beuzeville;;;;;;;;;;;;
Chippelle;Chippelle;;;;;;;;;;;;
Amiens-Glisy;Amiens-Glisy;;;;;;;;;;;;
Sainte-Croix-sur-Mer;Sainte-Croix-sur-Mer;;;;;;;;;;;;
Avranches Le Val-Saint-Pere;Avranches Le Val-Saint-Pere;;;;;;;;;;;;
High Halden;High Halden;;;;;;;;;;;;
Bernay Saint Martin;Bernay Saint Martin;;;;;;;;;;;;
Barville;Barville;;;;;;;;;;;;
Azeville;Azeville;;;;;;;;;;;;
Cricqueville-en-Bessin;Cricqueville-en-Bessin;;;;;;;;;;;;
West Malling;West Malling;;;;;;;;;;;;
Carpiquet;Carpiquet;;;;;;;;;;;;
Cardonville;Cardonville;;;;;;;;;;;;
Manston;Manston;;;;;;;;;;;;
Orly;Orly;;;;;;;;;;;;
Saint-Andre-de-lEure;Saint-Andre-de-lEure;;;;;;;;;;;;
Vrigny;Vrigny;;;;;;;;;;;;
Beauvais-Tille;Beauvais-Tille;;;;;;;;;;;;
Villacoublay;Villacoublay;;;;;;;;;;;;
Cretteville;Cretteville;;;;;;;;;;;;
Conches;Conches;;;;;;;;;;;;
Friston;Friston;;;;;;;;;;;;
Flers;Flers;;;;;;;;;;;;
Tangmere;Tangmere;;;;;;;;;;;;
Stoney Cross;Stoney Cross;;;;;;;;;;;;
Essay;Essay;;;;;;;;;;;;
Sommervieu;Sommervieu;;;;;;;;;;;;
Longues-sur-Mer;Longues-sur-Mer;;;;;;;;;;;;
Heathrow;Heathrow;;;;;;;;;;;;
Broglie;Broglie;;;;;;;;;;;;
Saint-Omer Wizernes;Saint-Omer Wizernes;;;;;;;;;;;;
Rouen-Boos;Rouen-Boos;;;;;;;;;;;;
Deauville;Deauville;;;;;;;;;;;;
Poix;Poix;;;;;;;;;;;;
Picauville;Picauville;;;;;;;;;;;;
Odiham;Odiham;;;;;;;;;;;;
Sainte-Laurent-sur-Mer;Sainte-Laurent-sur-Mer;;;;;;;;;;;;
Meautis;Meautis;;;;;;;;;;;;
Chailey;Chailey;;;;;;;;;;;;
Creil;Creil;;;;;;;;;;;;
Lonrai;Lonrai;;;;;;;;;;;;
Beny-sur-Mer;Beny-sur-Mer;;;;;;;;;;;;
Dunkirk-Mardyck;Dunkirk-Mardyck;;;;;;;;;;;;
Guyancourt;Guyancourt;;;;;;;;;;;;
Lympne;Lympne;;;;;;;;;;;;
Lymington;Lymington;;;;;;;;;;;;
Merville Calonne;Merville Calonne;;;;;;;;;;;;
Lessay;Lessay;;;;;;;;;;;;
Saint Pierre du Mont;Saint Pierre du Mont;;;;;;;;;;;;
Hauterive;Hauterive;;;;;;;;;;;;
Maupertus;Maupertus;;;;;;;;;;;;
Deux Jumeaux;Deux Jumeaux;;;;;;;;;;;;
Brucheville;Brucheville;;;;;;;;;;;;
Detling;Detling;;;;;;;;;;;;
Ronai;Ronai;;;;;;;;;;;;
Cormeilles-en-Vexin;Cormeilles-en-Vexin;;;;;;;;;;;;
Biggin Hill;Biggin Hill;;;;;;;;;;;;
