Text;File Name;Subtitle;Voice Name;Highpass;Lowpass;Nfilter;Volume Boost;Noise Boost;Emphasis;Rate;Pitch;Click In;Click Out
Bandar Abbas Intl;Bandar Abbas Intl;;;;;;;;;;;;
Al Maktoum Intl;Al Maktoum Intl;;;;;;;;;;;;
Bandar Lengeh;Bandar Lengeh;;;;;;;;;;;;
Al Dhafra AFB;Al Dhafra AFB;;;;;;;;;;;;
Liwa AFB;Liwa AFB;;;;;;;;;;;;
Tunb Kochak;Tunb Kochak;;;;;;;;;;;;
Sharjah Intl;Sharjah Intl;;;;;;;;;;;;
Dubai Intl;Dubai Intl;;;;;;;;;;;;
Kish Intl;Kish Intl;;;;;;;;;;;;
Qeshm Island;Qeshm Island;;;;;;;;;;;;
Kerman;Kerman;;;;;;;;;;;;
Bandar-e-Jask;Bandar-e-Jask;;;;;;;;;;;;
Sir Abu Nuayr;Sir Abu Nuayr;;;;;;;;;;;;
Shiraz Intl;Shiraz Intl;;;;;;;;;;;;
Ras Al Khaimah Intl;Ras Al Khaimah Intl;;;;;;;;;;;;
Al-Bateen;Al-Bateen;;;;;;;;;;;;
Al Minhad AFB;Al Minhad AFB;;;;;;;;;;;;
Fujairah Intl;Fujairah Intl;;;;;;;;;;;;
Quasoura_airport;Quasoura_airport;;;;;;;;;;;;
Sirri Island;Sirri Island;;;;;;;;;;;;
Al Ain Intl;Al Ain Intl;;;;;;;;;;;;
Lavan Island;Lavan Island;;;;;;;;;;;;
Jiroft;Jiroft;;;;;;;;;;;;
Abu Dhabi Intl;Abu Dhabi Intl;;;;;;;;;;;;
Lar;Lar;;;;;;;;;;;;
Tunb Island AFB;Tunb Island AFB;;;;;;;;;;;;
Abu Musa Island;Abu Musa Island;;;;;;;;;;;;
Khasab;Khasab;;;;;;;;;;;;
Havadarya;Havadarya;;;;;;;;;;;;
Sas Al Nakheel;Sas Al Nakheel;;;;;;;;;;;;
