Text;File Name;Subtitle;Voice Name;Highpass;Lowpass;Nfilter;Volume Boost;Noise Boost;Emphasis;Rate;Pitch;Click In;Click Out
Hatzerim;Hatzerim;;;;;;;;;;;;
Ben-Gurion;Ben-Gurion;;;;;;;;;;;;
Abu Suwayr;Abu Suwayr;;;;;;;;;;;;
Difarsuwar Airfield;Difarsuwar Airfield;;;;;;;;;;;;
AzZaqaziq;AzZaqaziq;;;;;;;;;;;;
Hatzor;Hatzor;;;;;;;;;;;;
Al Ismailiyah;Al Ismailiyah;;;;;;;;;;;;
Abu Rudeis;Abu Rudeis;;;;;;;;;;;;
As Salihiyah;As Salihiyah;;;;;;;;;;;;
Kedem;Kedem;;;;;;;;;;;;
Fayed;Fayed;;;;;;;;;;;;
Bir Hasanah;Bir Hasanah;;;;;;;;;;;;
Tel Nof;Tel Nof;;;;;;;;;;;;
Bilbeis Air Base;Bilbeis Air Base;;;;;;;;;;;;
St Catherine;St Catherine;;;;;;;;;;;;
Al Mansurah;Al Mansurah;;;;;;;;;;;;
Melez;Melez;;;;;;;;;;;;
Sde Dov;Sde Dov;;;;;;;;;;;;
Palmahim;Palmahim;;;;;;;;;;;;
El Arish;El Arish;;;;;;;;;;;;
Baluza;Baluza;;;;;;;;;;;;
Ramon Airbase;Ramon Airbase;;;;;;;;;;;;
Ovda;Ovda;;;;;;;;;;;;
Nevatim;Nevatim;;;;;;;;;;;;
Wadi al Jandali;Wadi al Jandali;;;;;;;;;;;;
El Gora;El Gora;;;;;;;;;;;;
Cairo International Airport;Cairo International Airport;;;;;;;;;;;;
Kibrit Air Base;Kibrit Air Base;;;;;;;;;;;;
Cairo West;Cairo West;;;;;;;;;;;;
Inshas Airbase;Inshas Airbase;;;;;;;;;;;;
