Text;File Name;Subtitle;Voice Name;Highpass;Lowpass;Nfilter;Volume Boost;Noise Boost;Emphasis;Rate;Pitch;Click In;Click Out
O'Higgins;O'Higgins;;;;;;;;;;;;
Puerto Natales;Puerto Natales;;;;;;;;;;;;
Comandante Luis Piedrabuena;Comandante Luis Piedrabuena;;;;;;;;;;;;
Tolhuin;Tolhuin;;;;;;;;;;;;
Gull Point;Gull Point;;;;;;;;;;;;
Ushuaia Helo Port;Ushuaia Helo Port;;;;;;;;;;;;
Goose Green;Goose Green;;;;;;;;;;;;
Ushuaia;Ushuaia;;;;;;;;;;;;
Rio Chico;Rio Chico;;;;;;;;;;;;
Cullen;Cullen;;;;;;;;;;;;
Caleta Tortel;Caleta Tortel;;;;;;;;;;;;
San Carlos FOB;San Carlos FOB;;;;;;;;;;;;
Pampa Guanaco;Pampa Guanaco;;;;;;;;;;;;
Mount Pleasant;Mount Pleasant;;;;;;;;;;;;
Puerto Williams;Puerto Williams;;;;;;;;;;;;
Rio Grande;Rio Grande;;;;;;;;;;;;
Hipico Flying Club;Hipico Flying Club;;;;;;;;;;;;
Almirante Schroeders;Almirante Schroeders;;;;;;;;;;;;
Rio Gallegos;Rio Gallegos;;;;;;;;;;;;
San Julian;San Julian;;;;;;;;;;;;
Punta Arenas;Punta Arenas;;;;;;;;;;;;
Rio Turbio;Rio Turbio;;;;;;;;;;;;
El Calafate;El Calafate;;;;;;;;;;;;
Gobernador Gregores;Gobernador Gregores;;;;;;;;;;;;
Puerto Santa Cruz;Puerto Santa Cruz;;;;;;;;;;;;
Franco Bianco;Franco Bianco;;;;;;;;;;;;
Porvenir;Porvenir;;;;;;;;;;;;
Port Stanley;Port Stanley;;;;;;;;;;;;
