Text;File Name;Subtitle;Voice Name;Highpass;Lowpass;Nfilter;Volume Boost;Noise Boost;Emphasis;Rate;Pitch;Click In;Click Out
Kuweires;Kuweires;;;;;;;;;;;;
Incirlik;Incirlik;;;;;;;;;;;;
King Abdullah II;King Abdullah II;;;;;;;;;;;;
Akrotiri;Akrotiri;;;;;;;;;;;;
Aleppo;Aleppo;;;;;;;;;;;;
Abu al-Duhur;Abu al-Duhur;;;;;;;;;;;;
Adana Sakirpasa;Adana Sakirpasa;;;;;;;;;;;;
Paphos;Paphos;;;;;;;;;;;;
At Tanf;At Tanf;;;;;;;;;;;;
Tal Siman;Tal Siman;;;;;;;;;;;;
Pinarbashi;Pinarbashi;;;;;;;;;;;;
Muwaffaq Salti;Muwaffaq Salti;;;;;;;;;;;;
Naqoura;Naqoura;;;;;;;;;;;;
Gaziantep;Gaziantep;;;;;;;;;;;;
Al Qusayr;Al Qusayr;;;;;;;;;;;;
Al-Dumayr;Al-Dumayr;;;;;;;;;;;;
Kingsfield;Kingsfield;;;;;;;;;;;;
Marj as Sultan North;Marj as Sultan North;;;;;;;;;;;;
Beirut-Rafic Hariri;Beirut-Rafic Hariri;;;;;;;;;;;;
Minakh;Minakh;;;;;;;;;;;;
Hama;Hama;;;;;;;;;;;;
Eyn Shemer;Eyn Shemer;;;;;;;;;;;;
Kharab Ishk;Kharab Ishk;;;;;;;;;;;;
Amman;Amman;;;;;;;;;;;;
Deir ez-Zor;Deir ez-Zor;;;;;;;;;;;;
Taftanaz;Taftanaz;;;;;;;;;;;;
Damascus;Damascus;;;;;;;;;;;;
Gazipasa;Gazipasa;;;;;;;;;;;;
Herzliya;Herzliya;;;;;;;;;;;;
An Nasiriyah;An Nasiriyah;;;;;;;;;;;;
Tiyas;Tiyas;;;;;;;;;;;;
Lakatamia;Lakatamia;;;;;;;;;;;;
Wujah Al Hajar;Wujah Al Hajar;;;;;;;;;;;;
Haifa;Haifa;;;;;;;;;;;;
Khalkhalah;Khalkhalah;;;;;;;;;;;;
Jirah;Jirah;;;;;;;;;;;;
Tha'lah;Tha'lah;;;;;;;;;;;;
Tabqa;Tabqa;;;;;;;;;;;;
Rayak;Rayak;;;;;;;;;;;;
Mezzeh;Mezzeh;;;;;;;;;;;;
Gecitkale;Gecitkale;;;;;;;;;;;;
Rosh Pina;Rosh Pina;;;;;;;;;;;;
Sanliurfa;Sanliurfa;;;;;;;;;;;;
Ruwayshid;Ruwayshid;;;;;;;;;;;;
H3 Northwest;H3 Northwest;;;;;;;;;;;;
Sayqal;Sayqal;;;;;;;;;;;;
Rene Mouawad;Rene Mouawad;;;;;;;;;;;;
Shayrat;Shayrat;;;;;;;;;;;;
Ramat David;Ramat David;;;;;;;;;;;;
Marj Ruhayyil;Marj Ruhayyil;;;;;;;;;;;;
Nicosia;Nicosia;;;;;;;;;;;;
H3 Southwest;H3 Southwest;;;;;;;;;;;;
Megiddo;Megiddo;;;;;;;;;;;;
Palmyra;Palmyra;;;;;;;;;;;;
H3;H3;;;;;;;;;;;;
Qabr as Sitt;Qabr as Sitt;;;;;;;;;;;;
Prince Hassan;Prince Hassan;;;;;;;;;;;;
Hatay;Hatay;;;;;;;;;;;;
King Hussein Air College;King Hussein Air College;;;;;;;;;;;;
Ercan;Ercan;;;;;;;;;;;;
Kiryat Shmona;Kiryat Shmona;;;;;;;;;;;;
Larnaca;Larnaca;;;;;;;;;;;;
Marj as Sultan South;Marj as Sultan South;;;;;;;;;;;;
Bassel Al-Assad;Bassel Al-Assad;;;;;;;;;;;;
H4;H4;;;;;;;;;;;;
