Text;File Name;Subtitle;Voice Name;Highpass;Lowpass;Nfilter;Volume Boost;Noise Boost;Emphasis;Rate;Pitch;Click In;Click Out
Dunkirk Mardyck;Dunkirk Mardyck;;;;;;;;;;;;
Manston;Manston;;;;;;;;;;;;
High Halden;High Halden;;;;;;;;;;;;
Abbeville Drucat;Abbeville Drucat;;;;;;;;;;;;
Saint Omer Longuenesse;Saint Omer Longuenesse;;;;;;;;;;;;
Detling;Detling;;;;;;;;;;;;
Biggin Hill;Biggin Hill;;;;;;;;;;;;
Hawkinge;Hawkinge;;;;;;;;;;;;
Merville Calonne;Merville Calonne;;;;;;;;;;;;
Eastchurch;Eastchurch;;;;;;;;;;;;
Lympne;Lympne;;;;;;;;;;;;
Headcorn;Headcorn;;;;;;;;;;;;
