Text;File Name;Subtitle;Voice Name;Highpass;Lowpass;Nfilter;Volume Boost;Noise Boost;Emphasis;Rate;Pitch;Click In;Click Out
Farah Airport;Farah;;en-US-Studio-O;;;;;;;;;;
Chaghcharan Airport;Chaghcharan;;en-US-Studio-O;;;;;;;;;;
Bost Airport;Bost;;en-US-Studio-O;;;;;;;;;;
Shindand Airport;Shindand;;en-US-Studio-O;;;;;;;;;;
Shindand Heliport;Shindand Heliport;;en-US-Studio-O;;;;;;;;;;
Qala i Naw Airport;Qala i Naw;;en-US-Studio-O;;;;;;;;;;
Tarinkot Airport;Tarinkot;;en-US-Studio-O;;;;;;;;;;
Maymana Zahiraddin Faryabi Airport;Maymana Zahiraddin Faryabi;;en-US-Studio-O;;;;;;;;;;
Nimroz Airport;Nimroz;;en-US-Studio-O;;;;;;;;;;
Camp Bastion Heliport;Camp Bastion Heliport;;en-US-Studio-O;;;;;;;;;;
Kandahar Heliport;Kandahar Heliport;;en-US-Studio-O;;;;;;;;;;
Kandahar Airport;Kandahar;;en-US-Studio-O;;;;;;;;;;
Dwyer Airport;Dwyer;;en-US-Studio-O;;;;;;;;;;
Herat Airport;Herat;;en-US-Studio-O;;;;;;;;;;
Camp Bastion Airport;Camp Bastion;;en-US-Studio-O;;;;;;;;;;
