Text;File Name;Subtitle;Voice Name;Highpass;Lowpass;Nfilter;Volume Boost;Noise Boost;Emphasis;Rate;Pitch;Click In;Click Out
Gudauta Airport;Gudauta;;en-US-Studio-O;;;;;;;;;;
Mineralnye Vody Airport;Mineralnye Vody;;en-US-Studio-O;;;;;;;;;;
Sukhumi-Babushara Airport;Sukhumi-Babushara;;en-US-Studio-O;;;;;;;;;;
Maykop-Khanskaya Airport;Maykop-Khanskaya;;en-US-Studio-O;;;;;;;;;;
Anapa-Vityazevo Airport;Anapa-Vityazevo;;en-US-Studio-O;;;;;;;;;;
Vaziani Airport;Vaziani;;en-US-Studio-O;;;;;;;;;;
Mozdok Airport;Mozdok;;en-US-Studio-O;;;;;;;;;;
Gelendzhik Airport;Gelendzhik;;en-US-Studio-O;;;;;;;;;;
Senaki-Kolkhi Airport;Senaki-Kolkhi;;en-US-Studio-O;;;;;;;;;;
Krasnodar-Pashkovsky Airport;Krasnodar-Pashkovsky;;en-US-Studio-O;;;;;;;;;;
Batumi Airport;Batumi;;en-US-Studio-O;;;;;;;;;;
Kobuleti Airport;Kobuleti;;en-US-Studio-O;;;;;;;;;;
Tbilisi-Lochini Airport;Tbilisi-Lochini;;en-US-Studio-O;;;;;;;;;;
Krymsk Airport;Krymsk;;en-US-Studio-O;;;;;;;;;;
Kutaisi Airport;Kutaisi;;en-US-Studio-O;;;;;;;;;;
Sochi-Adler Airport;Sochi-Adler;;en-US-Studio-O;;;;;;;;;;
Novorossiysk Airport;Novorossiysk;;en-US-Studio-O;;;;;;;;;;
Krasnodar-Center Airport;Krasnodar-Center;;en-US-Studio-O;;;;;;;;;;
Beslan Airport;Beslan;;en-US-Studio-O;;;;;;;;;;
Soganlug Airport;Soganlug;;en-US-Studio-O;;;;;;;;;;
Nalchik Airport;Nalchik;;en-US-Studio-O;;;;;;;;;;
