Text;File Name;Subtitle;Voice Name;Highpass;Lowpass;Nfilter;Volume Boost;Noise Boost;Emphasis;Rate;Pitch;Click In;Click Out
Baghdad International Airport;Baghdad International Airport;;en-US-Studio-O;;;;;;;;;;
Sulaimaniyah International Airport;Sulaimaniyah International Airport;;en-US-Studio-O;;;;;;;;;;
Al-Sahra Airport;Al-Sahra Airport;;en-US-Studio-O;;;;;;;;;;
Erbil International Airport;Erbil International Airport;;en-US-Studio-O;;;;;;;;;;
Al-Taji Airport;Al-Taji Airport;;en-US-Studio-O;;;;;;;;;;
Al-Asad Airbase Airport;Al-Asad Airbase;;en-US-Studio-O;;;;;;;;;;
Bashur Airport;Bashur Airport;;en-US-Studio-O;;;;;;;;;;
Balad Airbase Airport;Balad Airbase;;en-US-Studio-O;;;;;;;;;;
Kirkuk International Airport;Kirkuk International Airport;;en-US-Studio-O;;;;;;;;;;
Qayyarah Airfield West;Qayyarah Airfield West;;en-US-Studio-O;;;;;;;;;;
Al-Salam Airbase Airport;Al-Salam Airbase;;en-US-Studio-O;;;;;;;;;;
Al-Taquddum Airport;Al-Taquddum Airport;;en-US-Studio-O;;;;;;;;;;
K1 Base;K1 Base;;en-US-Studio-O;;;;;;;;;;
