Text;File Name;Subtitle;Voice Name;Highpass;Lowpass;Nfilter;Volume Boost;Noise Boost;Emphasis;Rate;Pitch;Click In;Click Out
Vuojarvi Airport;Vuojarvi;;en-US-Studio-O;;;;;;;;;;
Kallax Airport;Kallax;;en-US-Studio-O;;;;;;;;;;
Ivalo Airport;Ivalo;;en-US-Studio-O;;;;;;;;;;
Bodo Airport;Bodo;;en-US-Studio-O;;;;;;;;;;
Rovaniemi Airport;Rovaniemi;;en-US-Studio-O;;;;;;;;;;
Kalixfors Airport;Kalixfors;;en-US-Studio-O;;;;;;;;;;
Kuusamo Airport;Kuusamo;;en-US-Studio-O;;;;;;;;;;
Olenya Airport;Olenya;;en-US-Studio-O;;;;;;;;;;
Jokkmokk Airport;Jokkmokk;;en-US-Studio-O;;;;;;;;;;
Banak Airport;Banak;;en-US-Studio-O;;;;;;;;;;
Alakourtti Airport;Alakourtti;;en-US-Studio-O;;;;;;;;;;
Kemi Tornio Airport;Kemi Tornio;;en-US-Studio-O;;;;;;;;;;
Andoya Airport;Andoya;;en-US-Studio-O;;;;;;;;;;
Severomorsk-1 Airport;Severomorsk-1;;en-US-Studio-O;;;;;;;;;;
Kirkenes Airport;Kirkenes;;en-US-Studio-O;;;;;;;;;;
Severomorsk-3 Airport;Severomorsk-3;;en-US-Studio-O;;;;;;;;;;
Murmansk International Airport;Murmansk International;;en-US-Studio-O;;;;;;;;;;
Monchegorsk Airport;Monchegorsk;;en-US-Studio-O;;;;;;;;;;
Vidsel Airport;Vidsel;;en-US-Studio-O;;;;;;;;;;
Kiruna Airport;Kiruna;;en-US-Studio-O;;;;;;;;;;
