Text;File Name;Subtitle;Voice Name;Highpass;Lowpass;Nfilter;Volume Boost;Noise Boost;Emphasis;Rate;Pitch;Click In;Click Out
Jean Airport;Jean;;en-US-Studio-O;;;;;;;;;;
Lincoln County Airport;Lincoln County;;en-US-Studio-O;;;;;;;;;;
Laughlin Airport;Laughlin;;en-US-Studio-O;;;;;;;;;;
Groom Lake Airport;Groom Lake;;en-US-Studio-O;;;;;;;;;;
McCarran International Airport;McCarran International;;en-US-Studio-O;;;;;;;;;;
Mina Airport;Mina;;en-US-Studio-O;;;;;;;;;;
Creech Airport;Creech;;en-US-Studio-O;;;;;;;;;;
Nellis Airport;Nellis;;en-US-Studio-O;;;;;;;;;;
Tonopah Airport;Tonopah;;en-US-Studio-O;;;;;;;;;;
Mesquite Airport;Mesquite;;en-US-Studio-O;;;;;;;;;;
Echo Bay Airport;Echo Bay;;en-US-Studio-O;;;;;;;;;;
Pahute Mesa Airport;Pahute Mesa;;en-US-Studio-O;;;;;;;;;;
Boulder City Airport;Boulder City;;en-US-Studio-O;;;;;;;;;;
North Las Vegas Airport;North Las Vegas;;en-US-Studio-O;;;;;;;;;;
Beatty Airport;Beatty;;en-US-Studio-O;;;;;;;;;;
Tonopah Test Range Airport;Tonopah Test Range;;en-US-Studio-O;;;;;;;;;;
Henderson Executive Airport;Henderson Executive;;en-US-Studio-O;;;;;;;;;;
