Text;File Name;Subtitle;Voice Name;Highpass;Lowpass;Nfilter;Volume Boost;Noise Boost;Emphasis;Rate;Pitch;Click In;Click Out
Bandar Abbas International Airport;Bandar Abbas Intl;;en-US-Studio-O;;;;;;;;;;
Al Maktoum International Airport;Al Maktoum Intl;;en-US-Studio-O;;;;;;;;;;
Bandar Lengeh Airport;Bandar Lengeh;;en-US-Studio-O;;;;;;;;;;
Al Dhafra Airforce Base;Al Dhafra AFB;;en-US-Studio-O;;;;;;;;;;
Liwa Airforce Base;Liwa AFB;;en-US-Studio-O;;;;;;;;;;
Tunb Kochak Airport;Tunb Kochak;;en-US-Studio-O;;;;;;;;;;
Sharjah International Airport;Sharjah Intl;;en-US-Studio-O;;;;;;;;;;
Dubai International Airport;Dubai Intl;;en-US-Studio-O;;;;;;;;;;
Kish International Airport;Kish Intl;;en-US-Studio-O;;;;;;;;;;
Qeshm Island Airport;Qeshm Island;;en-US-Studio-O;;;;;;;;;;
Kerman Airport;Kerman;;en-US-Studio-O;;;;;;;;;;
Bandar-e-Jask Airport;Bandar-e-Jask;;en-US-Studio-O;;;;;;;;;;
Sir Abu Nuayr Airport;Sir Abu Nuayr;;en-US-Studio-O;;;;;;;;;;
Shiraz International Airport;Shiraz Intl;;en-US-Studio-O;;;;;;;;;;
Ras Al Khaimah International Airport;Ras Al Khaimah Intl;;en-US-Studio-O;;;;;;;;;;
Al-Bateen Airport;Al-Bateen;;en-US-Studio-O;;;;;;;;;;
Al Minhad Airforce Base;Al Minhad AFB;;en-US-Studio-O;;;;;;;;;;
Fujairah International Airport;Fujairah Intl;;en-US-Studio-O;;;;;;;;;;
Quasoura_airport Airport;Quasoura_airport;;en-US-Studio-O;;;;;;;;;;
Sirri Island Airport;Sirri Island;;en-US-Studio-O;;;;;;;;;;
Al Ain International Airport;Al Ain Intl;;en-US-Studio-O;;;;;;;;;;
Lavan Island Airport;Lavan Island;;en-US-Studio-O;;;;;;;;;;
Jiroft Airport;Jiroft;;en-US-Studio-O;;;;;;;;;;
Abu Dhabi International Airport;Abu Dhabi Intl;;en-US-Studio-O;;;;;;;;;;
Lar Airport;Lar;;en-US-Studio-O;;;;;;;;;;
Tunb Island Airforce Base;Tunb Island AFB;;en-US-Studio-O;;;;;;;;;;
Abu Musa Island Airport;Abu Musa Island;;en-US-Studio-O;;;;;;;;;;
Khasab Airport;Khasab;;en-US-Studio-O;;;;;;;;;;
Havadarya Airport;Havadarya;;en-US-Studio-O;;;;;;;;;;
Sas Al Nakheel Airport;Sas Al Nakheel;;en-US-Studio-O;;;;;;;;;;
