Text;File Name;Subtitle;Voice Name;Highpass;Lowpass;Nfilter;Volume Boost;Noise Boost;Emphasis;Rate;Pitch;Click In;Click Out
Sde Dov Airport;Sde Dov;;en-US-Studio-O;;;;;;;;;;
Cairo West Airport;Cairo West;;en-US-Studio-O;;;;;;;;;;
Difarsuwar Airfield;Difarsuwar Airfield;;en-US-Studio-O;;;;;;;;;;
El Minya Airport;El Minya;;en-US-Studio-O;;;;;;;;;;
AzZaqaziq Airport;AzZaqaziq;;en-US-Studio-O;;;;;;;;;;
Hatzor Airport;Hatzor;;en-US-Studio-O;;;;;;;;;;
Abu Rudeis Airport;Abu Rudeis;;en-US-Studio-O;;;;;;;;;;
Birma Air Base;Birma Air Base;;en-US-Studio-O;;;;;;;;;;
Quwaysina Airport;Quwaysina;;en-US-Studio-O;;;;;;;;;;
Palmachim Airport;Palmachim;;en-US-Studio-O;;;;;;;;;;
Ovda Airport;Ovda;;en-US-Studio-O;;;;;;;;;;
Ramon International Airport;Ramon International Airport;;en-US-Studio-O;;;;;;;;;;
Beni Suef Airport;Beni Suef;;en-US-Studio-O;;;;;;;;;;
El Arish Airport;El Arish;;en-US-Studio-O;;;;;;;;;;
Kom Awshim Airport;Kom Awshim;;en-US-Studio-O;;;;;;;;;;
Al Khatatbah Airport;Al Khatatbah;;en-US-Studio-O;;;;;;;;;;
St Catherine Airport;St Catherine;;en-US-Studio-O;;;;;;;;;;
Kibrit Air Base;Kibrit Air Base;;en-US-Studio-O;;;;;;;;;;
Inshas Airbase Airport;Inshas Airbase;;en-US-Studio-O;;;;;;;;;;
Hatzerim Airport;Hatzerim;;en-US-Studio-O;;;;;;;;;;
Ben-Gurion Airport;Ben-Gurion;;en-US-Studio-O;;;;;;;;;;
Abu Suwayr Airport;Abu Suwayr;;en-US-Studio-O;;;;;;;;;;
Al Bahr al Ahmar Airport;Al Bahr al Ahmar;;en-US-Studio-O;;;;;;;;;;
Al Ismailiyah Airport;Al Ismailiyah;;en-US-Studio-O;;;;;;;;;;
Kedem Airport;Kedem;;en-US-Studio-O;;;;;;;;;;
As Salihiyah Airport;As Salihiyah;;en-US-Studio-O;;;;;;;;;;
Fayed Airport;Fayed;;en-US-Studio-O;;;;;;;;;;
Bir Hasanah Airport;Bir Hasanah;;en-US-Studio-O;;;;;;;;;;
Sharm El Sheikh International Airport;Sharm El Sheikh International Airport;;en-US-Studio-O;;;;;;;;;;
Bilbeis Air Base;Bilbeis Air Base;;en-US-Studio-O;;;;;;;;;;
Al Mansurah Airport;Al Mansurah;;en-US-Studio-O;;;;;;;;;;
Melez Airport;Melez;;en-US-Studio-O;;;;;;;;;;
Wadi al Jandali Airport;Wadi al Jandali;;en-US-Studio-O;;;;;;;;;;
Al Rahmaniyah Air Base;Al Rahmaniyah Air Base;;en-US-Studio-O;;;;;;;;;;
Gebel El Basur Air Base;Gebel El Basur Air Base;;en-US-Studio-O;;;;;;;;;;
Baluza Airport;Baluza;;en-US-Studio-O;;;;;;;;;;
Tel Nof Airport;Tel Nof;;en-US-Studio-O;;;;;;;;;;
Ramon Airbase Airport;Ramon Airbase;;en-US-Studio-O;;;;;;;;;;
Nevatim Airport;Nevatim;;en-US-Studio-O;;;;;;;;;;
Jiyanklis Air Base;Jiyanklis Air Base;;en-US-Studio-O;;;;;;;;;;
El Gora Airport;El Gora;;en-US-Studio-O;;;;;;;;;;
Borj El Arab International Airport;Borj El Arab International Airport;;en-US-Studio-O;;;;;;;;;;
Hurghada International Airport;Hurghada International Airport;;en-US-Studio-O;;;;;;;;;;
Wadi Abu Rish Airport;Wadi Abu Rish;;en-US-Studio-O;;;;;;;;;;
Cairo International Airport;Cairo International Airport;;en-US-Studio-O;;;;;;;;;;
