Text;File Name;Subtitle;Voice Name;Highpass;Lowpass;Nfilter;Volume Boost;Noise Boost;Emphasis;Rate;Pitch;Click In;Click Out
O'Higgins Airport;O'Higgins;;en-US-Studio-O;;;;;;;;;;
Puerto Natales Airport;Puerto Natales;;en-US-Studio-O;;;;;;;;;;
Comandante Luis Piedrabuena Airport;Comandante Luis Piedrabuena;;en-US-Studio-O;;;;;;;;;;
Tolhuin Airport;Tolhuin;;en-US-Studio-O;;;;;;;;;;
Gull Point Airport;Gull Point;;en-US-Studio-O;;;;;;;;;;
Goose Green Airport;Goose Green;;en-US-Studio-O;;;;;;;;;;
Ushuaia Helo Port Airport;Ushuaia Helo Port;;en-US-Studio-O;;;;;;;;;;
Ushuaia Airport;Ushuaia;;en-US-Studio-O;;;;;;;;;;
Cullen Airport;Cullen;;en-US-Studio-O;;;;;;;;;;
Rio Chico Airport;Rio Chico;;en-US-Studio-O;;;;;;;;;;
San Carlos FOB Airport;San Carlos FOB;;en-US-Studio-O;;;;;;;;;;
Pampa Guanaco Airport;Pampa Guanaco;;en-US-Studio-O;;;;;;;;;;
Mount Pleasant Airport;Mount Pleasant;;en-US-Studio-O;;;;;;;;;;
Puerto Williams Airport;Puerto Williams;;en-US-Studio-O;;;;;;;;;;
Rio Grande Airport;Rio Grande;;en-US-Studio-O;;;;;;;;;;
Hipico Flying Club Airport;Hipico Flying Club;;en-US-Studio-O;;;;;;;;;;
Almirante Schroeders Airport;Almirante Schroeders;;en-US-Studio-O;;;;;;;;;;
Rio Gallegos Airport;Rio Gallegos;;en-US-Studio-O;;;;;;;;;;
San Julian Airport;San Julian;;en-US-Studio-O;;;;;;;;;;
Punta Arenas Airport;Punta Arenas;;en-US-Studio-O;;;;;;;;;;
Rio Turbio Airport;Rio Turbio;;en-US-Studio-O;;;;;;;;;;
El Calafate Airport;El Calafate;;en-US-Studio-O;;;;;;;;;;
Gobernador Gregores Airport;Gobernador Gregores;;en-US-Studio-O;;;;;;;;;;
Puerto Santa Cruz Airport;Puerto Santa Cruz;;en-US-Studio-O;;;;;;;;;;
Franco Bianco Airport;Franco Bianco;;en-US-Studio-O;;;;;;;;;;
Porvenir Airport;Porvenir;;en-US-Studio-O;;;;;;;;;;
Port Stanley Airport;Port Stanley;;en-US-Studio-O;;;;;;;;;;
