Text;File Name;Subtitle;Voice Name;Highpass;Lowpass;Nfilter;Volume Boost;Noise Boost;Emphasis;Rate;Pitch;Click In;Click Out
Kuweires Airport;Kuweires;;en-US-Studio-O;;;;;;;;;;
Hatzor Airport;Hatzor;;en-US-Studio-O;;;;;;;;;;
Incirlik Airport;Incirlik;;en-US-Studio-O;;;;;;;;;;
King Abdullah II Airport;King Abdullah II;;en-US-Studio-O;;;;;;;;;;
Akrotiri Airport;Akrotiri;;en-US-Studio-O;;;;;;;;;;
Aleppo Airport;Aleppo;;en-US-Studio-O;;;;;;;;;;
Abu al-Duhur Airport;Abu al-Duhur;;en-US-Studio-O;;;;;;;;;;
Adana Sakirpasa Airport;Adana Sakirpasa;;en-US-Studio-O;;;;;;;;;;
Paphos Airport;Paphos;;en-US-Studio-O;;;;;;;;;;
At Tanf Airport;At Tanf;;en-US-Studio-O;;;;;;;;;;
Tal Siman Airport;Tal Siman;;en-US-Studio-O;;;;;;;;;;
Pinarbashi Airport;Pinarbashi;;en-US-Studio-O;;;;;;;;;;
Muwaffaq Salti Airport;Muwaffaq Salti;;en-US-Studio-O;;;;;;;;;;
Naqoura Airport;Naqoura;;en-US-Studio-O;;;;;;;;;;
Gaziantep Airport;Gaziantep;;en-US-Studio-O;;;;;;;;;;
Al Qusayr Airport;Al Qusayr;;en-US-Studio-O;;;;;;;;;;
Al-Dumayr Airport;Al-Dumayr;;en-US-Studio-O;;;;;;;;;;
Kingsfield Airport;Kingsfield;;en-US-Studio-O;;;;;;;;;;
Marj as Sultan North Airport;Marj as Sultan North;;en-US-Studio-O;;;;;;;;;;
Beirut-Rafic Hariri Airport;Beirut-Rafic Hariri;;en-US-Studio-O;;;;;;;;;;
Minakh Airport;Minakh;;en-US-Studio-O;;;;;;;;;;
Hama Airport;Hama;;en-US-Studio-O;;;;;;;;;;
Eyn Shemer Airport;Eyn Shemer;;en-US-Studio-O;;;;;;;;;;
Kharab Ishk Airport;Kharab Ishk;;en-US-Studio-O;;;;;;;;;;
Amman Airport;Amman;;en-US-Studio-O;;;;;;;;;;
Deir ez-Zor Airport;Deir ez-Zor;;en-US-Studio-O;;;;;;;;;;
Palmashim Airport;Palmashim;;en-US-Studio-O;;;;;;;;;;
Taftanaz Airport;Taftanaz;;en-US-Studio-O;;;;;;;;;;
Damascus Airport;Damascus;;en-US-Studio-O;;;;;;;;;;
Gazipasa Airport;Gazipasa;;en-US-Studio-O;;;;;;;;;;
Herzliya Airport;Herzliya;;en-US-Studio-O;;;;;;;;;;
An Nasiriyah Airport;An Nasiriyah;;en-US-Studio-O;;;;;;;;;;
Tiyas Airport;Tiyas;;en-US-Studio-O;;;;;;;;;;
Tel Nof Airport;Tel Nof;;en-US-Studio-O;;;;;;;;;;
Ben Gurion Airport;Ben Gurion;;en-US-Studio-O;;;;;;;;;;
Lakatamia Airport;Lakatamia;;en-US-Studio-O;;;;;;;;;;
Wujah Al Hajar Airport;Wujah Al Hajar;;en-US-Studio-O;;;;;;;;;;
Tha'lah Airport;Tha'lah;;en-US-Studio-O;;;;;;;;;;
Haifa Airport;Haifa;;en-US-Studio-O;;;;;;;;;;
Khalkhalah Airport;Khalkhalah;;en-US-Studio-O;;;;;;;;;;
Jirah Airport;Jirah;;en-US-Studio-O;;;;;;;;;;
Tabqa Airport;Tabqa;;en-US-Studio-O;;;;;;;;;;
Rayak Airport;Rayak;;en-US-Studio-O;;;;;;;;;;
Rosh Pina Airport;Rosh Pina;;en-US-Studio-O;;;;;;;;;;
Mezzeh Airport;Mezzeh;;en-US-Studio-O;;;;;;;;;;
Gecitkale Airport;Gecitkale;;en-US-Studio-O;;;;;;;;;;
Sanliurfa Airport;Sanliurfa;;en-US-Studio-O;;;;;;;;;;
H Airport;H;;en-US-Studio-O;;;;;;;;;;
Ruwayshid Airport;Ruwayshid;;en-US-Studio-O;;;;;;;;;;
H3 Northwest Airport;H3 Northwest;;en-US-Studio-O;;;;;;;;;;
Sayqal Airport;Sayqal;;en-US-Studio-O;;;;;;;;;;
Rene Mouawad Airport;Rene Mouawad;;en-US-Studio-O;;;;;;;;;;
Shayrat Airport;Shayrat;;en-US-Studio-O;;;;;;;;;;
Ramat David Airport;Ramat David;;en-US-Studio-O;;;;;;;;;;
Marj Ruhayyil Airport;Marj Ruhayyil;;en-US-Studio-O;;;;;;;;;;
Nicosia Airport;Nicosia;;en-US-Studio-O;;;;;;;;;;
H3 Southwest Airport;H3 Southwest;;en-US-Studio-O;;;;;;;;;;
Megiddo Airport;Megiddo;;en-US-Studio-O;;;;;;;;;;
Palmyra Airport;Palmyra;;en-US-Studio-O;;;;;;;;;;
H3 Airport;H3;;en-US-Studio-O;;;;;;;;;;
Qabr as Sitt Airport;Qabr as Sitt;;en-US-Studio-O;;;;;;;;;;
Prince Hassan Airport;Prince Hassan;;en-US-Studio-O;;;;;;;;;;
Hatay Airport;Hatay;;en-US-Studio-O;;;;;;;;;;
King Hussein Air College Airport;King Hussein Air College;;en-US-Studio-O;;;;;;;;;;
Ercan Airport;Ercan;;en-US-Studio-O;;;;;;;;;;
Kiryat Shmona Airport;Kiryat Shmona;;en-US-Studio-O;;;;;;;;;;
Larnaca Airport;Larnaca;;en-US-Studio-O;;;;;;;;;;
Marj as Sultan South Airport;Marj as Sultan South;;en-US-Studio-O;;;;;;;;;;
Bassel Al-Assad Airport;Bassel Al-Assad;;en-US-Studio-O;;;;;;;;;;
H4 Airport;H4;;en-US-Studio-O;;;;;;;;;;
