Text;File Name;Subtitle;Voice Name;Highpass;Lowpass;Nfilter;Volume Boost;Noise Boost;Emphasis;Rate;Pitch;Click In;Click Out
Dunkirk Mardyck Airport;Dunkirk Mardyck;;en-US-Studio-O;;;;;;;;;;
Manston Airport;Manston;;en-US-Studio-O;;;;;;;;;;
High Halden Airport;High Halden;;en-US-Studio-O;;;;;;;;;;
Abbeville Drucat Airport;Abbeville Drucat;;en-US-Studio-O;;;;;;;;;;
Saint Omer Longuenesse Airport;Saint Omer Longuenesse;;en-US-Studio-O;;;;;;;;;;
Detling Airport;Detling;;en-US-Studio-O;;;;;;;;;;
Biggin Hill Airport;Biggin Hill;;en-US-Studio-O;;;;;;;;;;
Hawkinge Airport;Hawkinge;;en-US-Studio-O;;;;;;;;;;
Merville Calonne Airport;Merville Calonne;;en-US-Studio-O;;;;;;;;;;
Eastchurch Airport;Eastchurch;;en-US-Studio-O;;;;;;;;;;
Lympne Airport;Lympne;;en-US-Studio-O;;;;;;;;;;
Headcorn Airport;Headcorn;;en-US-Studio-O;;;;;;;;;;
