Text;File Name;Subtitle;Voice Name;Highpass;Lowpass;Nfilter;Volume Boost;Noise Boost;Emphasis;Rate;Pitch;Click In;Click Out
Farah Airport;Farah;;;;;;;;;;;;
Chaghcharan Airport;Chaghcharan;;;;;;;;;;;;
Bost Airport;Bost;;;;;;;;;;;;
Shindand Airport;Shindand;;;;;;;;;;;;
Shindand Heliport;Shindand Heliport;;;;;;;;;;;;
Qala i Naw Airport;Qala i Naw;;;;;;;;;;;;
Tarinkot Airport;Tarinkot;;;;;;;;;;;;
Maymana Zahiraddin Faryabi Airport;Maymana Zahiraddin Faryabi;;;;;;;;;;;;
Nimroz Airport;Nimroz;;;;;;;;;;;;
Camp Bastion Heliport;Camp Bastion Heliport;;;;;;;;;;;;
Kandahar Heliport;Kandahar Heliport;;;;;;;;;;;;
Kandahar Airport;Kandahar;;;;;;;;;;;;
Dwyer Airport;Dwyer;;;;;;;;;;;;
Herat Airport;Herat;;;;;;;;;;;;
Camp Bastion Airport;Camp Bastion;;;;;;;;;;;;
