Text;File Name;Subtitle;Voice Name;Highpass;Lowpass;Nfilter;Volume Boost;Noise Boost;Emphasis;Rate;Pitch;Click In;Click Out
Baghdad International Airport;Baghdad International Airport;;;;;;;;;;;;
Sulaimaniyah International Airport;Sulaimaniyah International Airport;;;;;;;;;;;;
Al-Sahra Airport;Al-Sahra Airport;;;;;;;;;;;;
Erbil International Airport;Erbil International Airport;;;;;;;;;;;;
Al-Taji Airport;Al-Taji Airport;;;;;;;;;;;;
Al-Asad Airbase Airport;Al-Asad Airbase;;;;;;;;;;;;
Bashur Airport;Bashur Airport;;;;;;;;;;;;
Balad Airbase Airport;Balad Airbase;;;;;;;;;;;;
Kirkuk International Airport;Kirkuk International Airport;;;;;;;;;;;;
Qayyarah Airfield West;Qayyarah Airfield West;;;;;;;;;;;;
Al-Salam Airbase Airport;Al-Salam Airbase;;;;;;;;;;;;
Al-Taquddum Airport;Al-Taquddum Airport;;;;;;;;;;;;
K1 Base;K1 Base;;;;;;;;;;;;
