Text;File Name;Subtitle;Voice Name;Highpass;Lowpass;Nfilter;Volume Boost;Noise Boost;Emphasis;Rate;Pitch;Click In;Click Out
Vuojarvi Airport;Vuojarvi;;;;;;;;;;;;
Kallax Airport;Kallax;;;;;;;;;;;;
Ivalo Airport;Ivalo;;;;;;;;;;;;
Bodo Airport;Bodo;;;;;;;;;;;;
Rovaniemi Airport;Rovaniemi;;;;;;;;;;;;
Kalixfors Airport;Kalixfors;;;;;;;;;;;;
Kuusamo Airport;Kuusamo;;;;;;;;;;;;
Olenya Airport;Olenya;;;;;;;;;;;;
Jokkmokk Airport;Jokkmokk;;;;;;;;;;;;
Banak Airport;Banak;;;;;;;;;;;;
Alakourtti Airport;Alakourtti;;;;;;;;;;;;
Kemi Tornio Airport;Kemi Tornio;;;;;;;;;;;;
Andoya Airport;Andoya;;;;;;;;;;;;
Severomorsk-1 Airport;Severomorsk-1;;;;;;;;;;;;
Kirkenes Airport;Kirkenes;;;;;;;;;;;;
Severomorsk-3 Airport;Severomorsk-3;;;;;;;;;;;;
Murmansk International Airport;Murmansk International;;;;;;;;;;;;
Monchegorsk Airport;Monchegorsk;;;;;;;;;;;;
Vidsel Airport;Vidsel;;;;;;;;;;;;
Kiruna Airport;Kiruna;;;;;;;;;;;;
