Text;File Name;Subtitle;Voice Name;Highpass;Lowpass;Nfilter;Volume Boost;Noise Boost;Emphasis;Rate;Pitch;Click In;Click Out
Bandar Abbas International Airport;Bandar Abbas Intl;;;;;;;;;;;;
Al Maktoum International Airport;Al Maktoum Intl;;;;;;;;;;;;
Bandar Lengeh Airport;Bandar Lengeh;;;;;;;;;;;;
Al Dhafra Airforce Base;Al Dhafra AFB;;;;;;;;;;;;
Liwa Airforce Base;Liwa AFB;;;;;;;;;;;;
Tunb Kochak Airport;Tunb Kochak;;;;;;;;;;;;
Sharjah International Airport;Sharjah Intl;;;;;;;;;;;;
Dubai International Airport;Dubai Intl;;;;;;;;;;;;
Kish International Airport;Kish Intl;;;;;;;;;;;;
Qeshm Island Airport;Qeshm Island;;;;;;;;;;;;
Kerman Airport;Kerman;;;;;;;;;;;;
Bandar-e-Jask Airport;Bandar-e-Jask;;;;;;;;;;;;
Sir Abu Nuayr Airport;Sir Abu Nuayr;;;;;;;;;;;;
Shiraz International Airport;Shiraz Intl;;;;;;;;;;;;
Ras Al Khaimah International Airport;Ras Al Khaimah Intl;;;;;;;;;;;;
Al-Bateen Airport;Al-Bateen;;;;;;;;;;;;
Al Minhad Airforce Base;Al Minhad AFB;;;;;;;;;;;;
Fujairah International Airport;Fujairah Intl;;;;;;;;;;;;
Quasoura_airport Airport;Quasoura_airport;;;;;;;;;;;;
Sirri Island Airport;Sirri Island;;;;;;;;;;;;
Al Ain International Airport;Al Ain Intl;;;;;;;;;;;;
Lavan Island Airport;Lavan Island;;;;;;;;;;;;
Jiroft Airport;Jiroft;;;;;;;;;;;;
Abu Dhabi International Airport;Abu Dhabi Intl;;;;;;;;;;;;
Lar Airport;Lar;;;;;;;;;;;;
Tunb Island Airforce Base;Tunb Island AFB;;;;;;;;;;;;
Abu Musa Island Airport;Abu Musa Island;;;;;;;;;;;;
Khasab Airport;Khasab;;;;;;;;;;;;
Havadarya Airport;Havadarya;;;;;;;;;;;;
Sas Al Nakheel Airport;Sas Al Nakheel;;;;;;;;;;;;
