Text;File Name;Subtitle;Voice Name;Highpass;Lowpass;Nfilter;Volume Boost;Noise Boost;Emphasis;Rate;Pitch;Click In;Click Out
Sde Dov Airport;Sde Dov;;;;;;;;;;;;
Cairo West Airport;Cairo West;;;;;;;;;;;;
Difarsuwar Airfield;Difarsuwar Airfield;;;;;;;;;;;;
El Minya Airport;El Minya;;;;;;;;;;;;
AzZaqaziq Airport;AzZaqaziq;;;;;;;;;;;;
Hatzor Airport;Hatzor;;;;;;;;;;;;
Abu Rudeis Airport;Abu Rudeis;;;;;;;;;;;;
Birma Air Base;Birma Air Base;;;;;;;;;;;;
Quwaysina Airport;Quwaysina;;;;;;;;;;;;
Palmachim Airport;Palmachim;;;;;;;;;;;;
Ovda Airport;Ovda;;;;;;;;;;;;
Ramon International Airport;Ramon International Airport;;;;;;;;;;;;
Beni Suef Airport;Beni Suef;;;;;;;;;;;;
El Arish Airport;El Arish;;;;;;;;;;;;
Kom Awshim Airport;Kom Awshim;;;;;;;;;;;;
Al Khatatbah Airport;Al Khatatbah;;;;;;;;;;;;
St Catherine Airport;St Catherine;;;;;;;;;;;;
Kibrit Air Base;Kibrit Air Base;;;;;;;;;;;;
Inshas Airbase Airport;Inshas Airbase;;;;;;;;;;;;
Hatzerim Airport;Hatzerim;;;;;;;;;;;;
Ben-Gurion Airport;Ben-Gurion;;;;;;;;;;;;
Abu Suwayr Airport;Abu Suwayr;;;;;;;;;;;;
Al Bahr al Ahmar Airport;Al Bahr al Ahmar;;;;;;;;;;;;
Al Ismailiyah Airport;Al Ismailiyah;;;;;;;;;;;;
Kedem Airport;Kedem;;;;;;;;;;;;
As Salihiyah Airport;As Salihiyah;;;;;;;;;;;;
Fayed Airport;Fayed;;;;;;;;;;;;
Bir Hasanah Airport;Bir Hasanah;;;;;;;;;;;;
Sharm El Sheikh International Airport;Sharm El Sheikh International Airport;;;;;;;;;;;;
Bilbeis Air Base;Bilbeis Air Base;;;;;;;;;;;;
Al Mansurah Airport;Al Mansurah;;;;;;;;;;;;
Melez Airport;Melez;;;;;;;;;;;;
Wadi al Jandali Airport;Wadi al Jandali;;;;;;;;;;;;
Al Rahmaniyah Air Base;Al Rahmaniyah Air Base;;;;;;;;;;;;
Gebel El Basur Air Base;Gebel El Basur Air Base;;;;;;;;;;;;
Baluza Airport;Baluza;;;;;;;;;;;;
Tel Nof Airport;Tel Nof;;;;;;;;;;;;
Ramon Airbase Airport;Ramon Airbase;;;;;;;;;;;;
Nevatim Airport;Nevatim;;;;;;;;;;;;
Jiyanklis Air Base;Jiyanklis Air Base;;;;;;;;;;;;
El Gora Airport;El Gora;;;;;;;;;;;;
Borj El Arab International Airport;Borj El Arab International Airport;;;;;;;;;;;;
Hurghada International Airport;Hurghada International Airport;;;;;;;;;;;;
Wadi Abu Rish Airport;Wadi Abu Rish;;;;;;;;;;;;
Cairo International Airport;Cairo International Airport;;;;;;;;;;;;
