Text;File Name;Subtitle;Voice Name;Highpass;Lowpass;Nfilter;Volume Boost;Noise Boost;Emphasis;Rate;Pitch;Click In;Click Out
O'Higgins Airport;O'Higgins;;;;;;;;;;;;
Puerto Natales Airport;Puerto Natales;;;;;;;;;;;;
Comandante Luis Piedrabuena Airport;Comandante Luis Piedrabuena;;;;;;;;;;;;
Tolhuin Airport;Tolhuin;;;;;;;;;;;;
Gull Point Airport;Gull Point;;;;;;;;;;;;
Goose Green Airport;Goose Green;;;;;;;;;;;;
Ushuaia Helo Port Airport;Ushuaia Helo Port;;;;;;;;;;;;
Ushuaia Airport;Ushuaia;;;;;;;;;;;;
Cullen Airport;Cullen;;;;;;;;;;;;
Rio Chico Airport;Rio Chico;;;;;;;;;;;;
San Carlos FOB Airport;San Carlos FOB;;;;;;;;;;;;
Pampa Guanaco Airport;Pampa Guanaco;;;;;;;;;;;;
Mount Pleasant Airport;Mount Pleasant;;;;;;;;;;;;
Puerto Williams Airport;Puerto Williams;;;;;;;;;;;;
Rio Grande Airport;Rio Grande;;;;;;;;;;;;
Hipico Flying Club Airport;Hipico Flying Club;;;;;;;;;;;;
Almirante Schroeders Airport;Almirante Schroeders;;;;;;;;;;;;
Rio Gallegos Airport;Rio Gallegos;;;;;;;;;;;;
San Julian Airport;San Julian;;;;;;;;;;;;
Punta Arenas Airport;Punta Arenas;;;;;;;;;;;;
Rio Turbio Airport;Rio Turbio;;;;;;;;;;;;
El Calafate Airport;El Calafate;;;;;;;;;;;;
Gobernador Gregores Airport;Gobernador Gregores;;;;;;;;;;;;
Puerto Santa Cruz Airport;Puerto Santa Cruz;;;;;;;;;;;;
Franco Bianco Airport;Franco Bianco;;;;;;;;;;;;
Porvenir Airport;Porvenir;;;;;;;;;;;;
Port Stanley Airport;Port Stanley;;;;;;;;;;;;
