Text;File Name;Subtitle;Voice Name;Highpass;Lowpass;Nfilter;Volume Boost;Noise Boost;Emphasis;Rate;Pitch;Click In;Click Out
Kuweires Airport;Kuweires;;;;;;;;;;;;
Hatzor Airport;Hatzor;;;;;;;;;;;;
Incirlik Airport;Incirlik;;;;;;;;;;;;
King Abdullah II Airport;King Abdullah II;;;;;;;;;;;;
Akrotiri Airport;Akrotiri;;;;;;;;;;;;
Aleppo Airport;Aleppo;;;;;;;;;;;;
Abu al-Duhur Airport;Abu al-Duhur;;;;;;;;;;;;
Adana Sakirpasa Airport;Adana Sakirpasa;;;;;;;;;;;;
Paphos Airport;Paphos;;;;;;;;;;;;
At Tanf Airport;At Tanf;;;;;;;;;;;;
Tal Siman Airport;Tal Siman;;;;;;;;;;;;
Pinarbashi Airport;Pinarbashi;;;;;;;;;;;;
Muwaffaq Salti Airport;Muwaffaq Salti;;;;;;;;;;;;
Naqoura Airport;Naqoura;;;;;;;;;;;;
Gaziantep Airport;Gaziantep;;;;;;;;;;;;
Al Qusayr Airport;Al Qusayr;;;;;;;;;;;;
Al-Dumayr Airport;Al-Dumayr;;;;;;;;;;;;
Kingsfield Airport;Kingsfield;;;;;;;;;;;;
Marj as Sultan North Airport;Marj as Sultan North;;;;;;;;;;;;
Beirut-Rafic Hariri Airport;Beirut-Rafic Hariri;;;;;;;;;;;;
Minakh Airport;Minakh;;;;;;;;;;;;
Hama Airport;Hama;;;;;;;;;;;;
Eyn Shemer Airport;Eyn Shemer;;;;;;;;;;;;
Kharab Ishk Airport;Kharab Ishk;;;;;;;;;;;;
Amman Airport;Amman;;;;;;;;;;;;
Deir ez-Zor Airport;Deir ez-Zor;;;;;;;;;;;;
Palmashim Airport;Palmashim;;;;;;;;;;;;
Taftanaz Airport;Taftanaz;;;;;;;;;;;;
Damascus Airport;Damascus;;;;;;;;;;;;
Gazipasa Airport;Gazipasa;;;;;;;;;;;;
Herzliya Airport;Herzliya;;;;;;;;;;;;
An Nasiriyah Airport;An Nasiriyah;;;;;;;;;;;;
Tiyas Airport;Tiyas;;;;;;;;;;;;
Tel Nof Airport;Tel Nof;;;;;;;;;;;;
Ben Gurion Airport;Ben Gurion;;;;;;;;;;;;
Lakatamia Airport;Lakatamia;;;;;;;;;;;;
Wujah Al Hajar Airport;Wujah Al Hajar;;;;;;;;;;;;
Tha'lah Airport;Tha'lah;;;;;;;;;;;;
Haifa Airport;Haifa;;;;;;;;;;;;
Khalkhalah Airport;Khalkhalah;;;;;;;;;;;;
Jirah Airport;Jirah;;;;;;;;;;;;
Tabqa Airport;Tabqa;;;;;;;;;;;;
Rayak Airport;Rayak;;;;;;;;;;;;
Rosh Pina Airport;Rosh Pina;;;;;;;;;;;;
Mezzeh Airport;Mezzeh;;;;;;;;;;;;
Gecitkale Airport;Gecitkale;;;;;;;;;;;;
Sanliurfa Airport;Sanliurfa;;;;;;;;;;;;
H Airport;H;;;;;;;;;;;;
Ruwayshid Airport;Ruwayshid;;;;;;;;;;;;
H3 Northwest Airport;H3 Northwest;;;;;;;;;;;;
Sayqal Airport;Sayqal;;;;;;;;;;;;
Rene Mouawad Airport;Rene Mouawad;;;;;;;;;;;;
Shayrat Airport;Shayrat;;;;;;;;;;;;
Ramat David Airport;Ramat David;;;;;;;;;;;;
Marj Ruhayyil Airport;Marj Ruhayyil;;;;;;;;;;;;
Nicosia Airport;Nicosia;;;;;;;;;;;;
H3 Southwest Airport;H3 Southwest;;;;;;;;;;;;
Megiddo Airport;Megiddo;;;;;;;;;;;;
Palmyra Airport;Palmyra;;;;;;;;;;;;
H3 Airport;H3;;;;;;;;;;;;
Qabr as Sitt Airport;Qabr as Sitt;;;;;;;;;;;;
Prince Hassan Airport;Prince Hassan;;;;;;;;;;;;
Hatay Airport;Hatay;;;;;;;;;;;;
King Hussein Air College Airport;King Hussein Air College;;;;;;;;;;;;
Ercan Airport;Ercan;;;;;;;;;;;;
Kiryat Shmona Airport;Kiryat Shmona;;;;;;;;;;;;
Larnaca Airport;Larnaca;;;;;;;;;;;;
Marj as Sultan South Airport;Marj as Sultan South;;;;;;;;;;;;
Bassel Al-Assad Airport;Bassel Al-Assad;;;;;;;;;;;;
H4 Airport;H4;;;;;;;;;;;;
